,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
144,本山第二小学校,135.2695758,34.7253269,0.5581416496493145,神戸市東灘区西岡本1-3-1,1160,国道2号_23
145,灘中・高校,135.2684539,34.7191636,0.6928559290012657,神戸市東灘区魚崎北町8-5-1,943,国道2号_23
146,魚崎小学校,135.27125700000002,34.714966,0.9095771661108819,神戸市東灘区魚崎中町4-10-8,1160,国道2号_23
147,東灘体育館,135.27811599999998,34.714665999999994,0.937994483081947,神戸市東灘区魚崎南町6-5-11,192,国道2号_23
148,甲南小学校,135.26399609999999,34.7222717,0.9843014934969022,神戸市東灘区住吉本町1-12-1,1160,国道2号_23
149,甲南大学,135.2679925,34.729734,0.9996544129048468,神戸市東灘区岡本8-9-1,192,国道2号_23
150,友生支援学校住吉分校,135.2655489,34.7170611,1.0447855096810925,神戸市東灘区住吉東町4-1-58,192,国道2号_23
151,住吉小学校,135.264485,34.7175747,1.0943780631476858,神戸市東灘区住吉東町4-1-31,1160,国道2号_23
152,魚崎中学校,135.2790506,34.71312,1.1284132477339732,神戸市東灘区魚崎南町1-2-1,1186,国道2号_23
153,住之江公民館別館,135.2646774,34.7143023,0.5622599484846832,神戸市東灘区住吉宮町2-1-3,192,国道2号_24
154,住之江公民館,135.2636564,34.7139751,0.604331854711319,神戸市東灘区住吉宮町2-2-3,192,国道2号_24
155,住吉中学校,135.2587214,34.725862799999994,0.8978033648541754,神戸市東灘区住吉山手1-11-1,1186,国道2号_24
156,呉田会館,135.2624866,34.7107873,0.9711008525158833,神戸市東灘区住吉南町4-6-23,192,国道2号_24
157,御影中学校,135.2535331,34.7159417,1.0803762690342278,神戸市東灘区御影中町5-1-1,1186,国道2号_24
158,御影高校,135.250575,34.716960799999995,0.322871160626576,神戸市東灘区御影石町4-1-1,943,国道2号_25
159,御影小学校,135.2515083,34.714811100000006,0.33851733194579053,神戸市東灘区御影石町3-1-1,1160,国道2号_25
160,御影公会堂,135.24925119999997,34.7160708,0.45559677693920975,神戸市東灘区御影石町4-4-1,192,国道2号_25
161,御影北小学校,135.2488056,34.7246294,0.9767223973092579,神戸市東灘区御影山手1-12-1,1160,国道2号_25
162,鷹匠中学校,135.2438533,34.7201547,1.0021990785777757,神戸市灘区高徳町2-2-19,1186,国道2号_25
163,成徳小学校,135.2422119,34.7156136,1.0995412280369816,神戸市灘区備後町1-3-1,1160,国道2号_25
164,烏帽子中学校,135.2376273,34.710671999999995,0.6556924842529849,神戸市灘区烏帽子町1-2-1,1186,国道2号_26
165,灘小学校,135.23254609999998,34.713255600000004,1.0369110620586697,神戸市灘区千旦通1-5-1,1160,国道2号_26
166,六甲小学校,135.2333847,34.7176856,1.0620454075958534,神戸市灘区八幡町4-4-1,1160,国道2号_26
167,西郷小学校,135.232752,34.706971200000005,0.34342791774950776,神戸市灘区大石東町6-2-1,1160,国道2号_27
168,原田中学校,135.228747,34.707957,0.5084972862357503,神戸市灘区船寺通2-4-1,1186,国道2号_27
169,西灘小学校,135.22778280000003,34.707800299999995,0.5960006338768333,神戸市灘区船寺通3-4-1,1160,国道2号_27
170,稗田小学校,135.2224081,34.711338899999994,1.0494699613045841,神戸市灘区岸地通4-2-1,1160,国道2号_27
171,渚中学校,135.21756969999998,34.7004675,0.8859637399132784,神戸市中央区脇浜海岸通2-1-1,1186,国道2号_28
172,福住小学校,135.2184924,34.7131542,1.0557521683229876,神戸市灘区福住通7-1-1,1160,国道2号_28
173,科学技術高校,135.2135256,34.7043033,1.0741486461393426,神戸市中央区脇浜町1-4-70,943,国道2号_28
174,宮本小学校,135.2117731,34.70671970000001,0.6318705876581294,神戸市中央区宮本通2-1-36,1160,国道2号_29
175,なぎさ小学校,135.2110122,34.69774279999999,0.6984813886221757,神戸市中央区脇浜海岸通2-4-1,1160,国道2号_29
176,筒井台中学校,135.2100675,34.7093111,0.9547749061161621,神戸市中央区野崎通1-1-3,1186,国道2号_29
177,春日野小学校,135.206143,34.70566147,0.992007615577404,神戸市中央区宮本通7-1-6,1160,国道2号_29
178,コミスタこうべ（生涯学習支援センター）,135.2046319,34.6982261,1.1548292445711215,神戸市中央区吾妻通4-1-6,192,国道2号_29
179,葺合公民館,135.20453500000002,34.694983,0.405628250495139,神戸市中央区真砂通2-1-1,192,国道2号_30
180,中央小学校,135.1996908,34.701742200000005,0.7140212651103848,神戸市中央区神若通7-1-1,1160,国道2号_30
181,こうべ市民福祉交流センター,135.2017676,34.692863700000004,0.7356006242587485,神戸市中央区磯上通3-1-32,192,国道2号_30
182,葺合中学校,135.2032542,34.706844399999994,0.9844126773739299,神戸市中央区熊内町1-4-28,1186,国道2号_30
183,神戸生田中学校,135.1856644,34.6899906,1.1274784889966887,神戸市中央区北長狭通4-10-1,1186,国道2号_31
184,こうべまちづくり会館,135.1829065,34.6860973,0.4487217313068841,神戸市中央区元町通4-2-14,192,国道2号_33
185,産業振興センター,135.1817956,34.6806028,0.7990235287529892,神戸市中央区東川崎1-8-4,192,国道2号_33
186,こうべ小学校,135.18247,34.6935569,0.9861055258401247,神戸市中央区中山手通4-23-2,1160,国道2号_33
187,湊小学校,135.18085109999998,34.676897499999995,1.177651968098091,神戸市中央区東川崎町1-4-1,1160,国道2号_33
188,中央図書館,135.1741492,34.6856249,0.8614813225686437,神戸市中央区楠町7-2-1,192,国道2号_34
189,湊翔楠中学校,135.1716466,34.6839972,0.9216457333307921,神戸市中央区楠町4-2-5,1186,国道2号_34
190,兵庫中学校,135.16995500000002,34.6736533,1.1627043483153925,神戸市兵庫区永沢町4-3-36,1186,国道2号_34
191,兵庫大開小学校,135.16631919999998,34.67367,0.8393760818062198,神戸市兵庫区大開通4-1-39,1160,国道2号_35
192,須佐野中学絞,135.16974419999997,34.66446,0.9559585981740721,神戸市兵庫区松原通1-1-44,192,国道2号_35
193,明親小学校,135.1661081,34.6651625,1.112204298100359,神戸市兵庫区須佐野通4-1-19,1160,国道2号_35
194,水木小学絞,135.1594761,34.670356299999995,0.7571255798673662,神戸市兵庫区水木通9-1-8,192,国道2号_36
195,浜山小学校,135.1662009,34.657749700000004,0.9889413735907945,神戸市兵庫区材木町4-2,1160,国道2号_36
196,御蔵小学校,135.1550418,34.666368799999994,1.0436114922352813,神戸市長田区一番町4-1,1160,国道2号_36
197,長田公民館,135.15455409999998,34.6697571,1.1406680393743747,神戸市長田区四番町4-51,192,国道2号_36
198,長田中学校,135.1531092,34.661412799999994,0.4351670506476742,神戸市長田区真野町8-1,1186,国道2号_37
199,真野小学校,135.1540769,34.6570313,0.5659656352460996,神戸市長田区苅藻通3-4-32,1160,国道2号_37
200,長田南小学校,135.14985430000002,34.6618374,0.7367676105593723,神戸市長田区神楽町1-3-1,1160,国道2号_37
201,真陽小学校,135.15128719999998,34.655502500000004,0.8620165597887816,神戸市長田区二葉町1-5-5,1160,国道2号_37
202,駒ヶ林中学校,135.14346030000002,34.6551358,0.4911900663795587,神戸市長田区若松町7-1-23,1186,国道2号_38
203,ふたば学舎（地域人材支援センター）,135.146261,34.65177070000001,0.5602046814015913,神戸市長田区二葉町7-1-18,192,国道2号_38
204,蓮池小学校,135.14321280000001,34.662434999999995,0.8269760189769911,神戸市長田区大谷町1-1-10,1160,国道2号_38
205,駒ケ林小学校,135.1414645,34.6500314,0.9650616946733992,神戸市長田区野田町6-1-16,1160,国道2号_38
206,南須磨公民館,135.13332409999998,34.648816700000005,0.6341793311103869,神戸市須磨区青葉町2-2-3,192,国道2号_39
207,だいち小学校,135.13428330000002,34.654255299999996,0.6384635841716723,神戸市須磨区大池町5-1-52,1160,国道2号_39
208,鷹取中学校,135.13260309999998,34.6479475,0.732413593200472,神戸市須磨区青葉町3-1-1,1186,国道2号_39
209,若宮小学校,135.1314996,34.6463436,0.9075869077700291,神戸市須磨区若宮町2-1-21,1160,国道2号_39
210,太田中学校,135.1329026,34.6576629,0.993720324258872,神戸市須磨区大黒町5-1-1,1186,国道2号_39
211,須磨体育館,135.1289669,34.6507528,0.9954571950805993,神戸市須磨区中島町1-2-2,192,国道2号_39
212,西須磨小学校,135.1204206,34.6466586,1.0052978299532298,神戸市須磨区行幸町3-4-18,1160,国道2号_40
213,北須磨小学校,135.1152711,34.6526467,1.071842781029597,神戸市須磨区離宮西町2-1-1,1160,国道2号_41
214,須磨一の谷プラザ,135.10609219999998,34.6411794,0.3803054094330303,神戸市須磨区一ノ谷町5-2-1,192,国道2号_42
215,塩屋小学校,135.08131609999998,34.6379922,0.921706543204953,神戸市垂水区塩屋町3-18-1,1160,国道2号_44
216,塩屋台自治会館,135.0835281,34.6418375,1.0208571509747595,神戸市垂水区塩屋台1-21,192,国道2号_44
217,兵庫県自治研修所,135.077551,34.633111,0.232770996590797,神戸市垂水区塩屋町5-3-1,192,国道2号_45
218,東垂水小学校,135.07118640000002,34.634825799999994,0.8465455654613686,神戸市垂水区王居殿2-5-25,1160,国道2号_45
219,視覚特別支援学校,135.06928369999997,34.633196000000005,0.983818070599996,神戸市垂水区城が山4-2-1,192,国道2号_45
220,東垂水公民館,135.0684339,34.6368394,1.1629308006877348,神戸市垂水区東垂水1-1-1,192,国道2号_45
221,垂水年金会館,135.0590125,34.6280792,0.9791529017184822,神戸市垂水区平磯1-2-5,192,国道2号_46
222,垂水小学校,135.0558767,34.6315758,0.41778768890496715,神戸市垂水区日向2-4-6,1160,国道2号_47
223,垂水体育館,135.0513052,34.6329709,0.831229811319014,神戸市垂水区旭ヶ丘2-1-22,192,国道2号_47
224,霞ヶ丘小学校,135.0427583,34.63337,0.7320719136134716,神戸市垂水区霞ヶ丘4-6-16,1160,国道2号_48
225,歌敷山中学校,135.0412611,34.63639439999999,1.0843855064446828,神戸市垂水区歌敷山2-4-1,1186,国道2号_48
226,東舞子小学校,135.0364975,34.639349700000004,1.0225345386792764,神戸市垂水区舞子台4-10-1,1160,国道2号_49
227,舞子小学校,135.0303701,34.6437937,0.7737734014477899,神戸市垂水区西舞子4-7-43,1160,国道2号_50
228,朝霧コミセン,135.02126299999998,34.651604999999996,1.0346214574629797,兵庫県明石市二見町5丁目7-1,50,国道2号_51
229,人丸小学校,135.00515,34.650251000000004,0.7567780467047386,兵庫県明石市東人丸町26-29,220,国道2号_52
230,中崎小学校,134.999373,34.642696,1.119192642338968,兵庫県明石市中崎1丁目4-1,150,国道2号_52
231,明石小学校,134.99504,34.650166999999996,0.6041597551638253,兵庫県明石市山下町12-21,150,国道2号_53
232,大観小学校,134.985429,34.649167,0.404276269852612,兵庫県明石市大明石町2丁目8-30,150,国道2号_54
233,衣川中学校,134.98043,34.646584000000004,0.8452629951484495,兵庫県明石市南王子町7-1,250,国道2号_54
234,王子小学校,134.983235,34.656361,1.1090949330873556,兵庫県明石市王子1丁目1-1,150,国道2号_54
235,林小学校,134.971625,34.648528000000006,0.7936182056305813,兵庫県明石市林崎町1丁目8-10,200,国道2号_55
236,和坂小学校,134.970819,34.661999,0.4911326679622836,兵庫県明石市和坂2丁目12-1,150,国道2号_56
237,枝吉小学校,134.9778628,34.66476779999999,0.9221323631983526,神戸市西区技吉2-95,1160,国道2号_56
238,花園小学校,134.96323600000002,34.662442999999996,0.9886574364924308,兵庫県明石市西明石南町1丁目1-10,150,国道2号_56
239,貴崎小学校,134.961237,34.656859999999995,1.0304737251852607,兵庫県明石市貴崎5丁目5-52,150,国道2号_56
240,望海中学校,134.962153,34.662442999999996,1.074481649072211,兵庫県明石市西明石南町1丁目1-33,250,国道2号_56
241,鳥羽小学校,134.965903,34.670387,0.7062441732287916,兵庫県明石市西明石北町2丁目2-1,150,国道2号_57
