OBJECTID,市区町村コード,施設名,住所,避難施設の種類,収容人数,緯度,経度
276,28204,市立西宮東高等学校,兵庫県西宮市古川町1-12,指定避難所,1790,34.714034,135.36778
277,28204,鳴尾公民館,兵庫県西宮市鳴尾町1丁目8-2,指定避難所,220,34.717923,135.371727
278,28204,鳴尾東公民館,兵庫県西宮市東鳴尾町1丁目9-1,指定避難所,100,34.712718,135.376574
279,28204,南甲子園公民館,兵庫県西宮市甲子園九番町15-40,指定避難所,110,34.714481,135.358261
280,28204,鳴尾中央センター（鳴尾支所3階）,兵庫県西宮市鳴尾町3丁目5-14,指定避難所,100,34.718337,135.370082
281,28204,鳴尾センター,兵庫県西宮市笠屋町19-1,指定避難所,60,34.713165,135.374929
282,28204,小松小学校,兵庫県西宮市小松東町1丁目3-59,指定避難所,1140,34.72495,135.380506
283,28204,鳴尾北小学校,兵庫県西宮市学文殿町2丁目2-7,指定避難所,1350,34.725517,135.372604
284,28204,学文中学校,兵庫県西宮市学文殿町1丁目5-7,指定避難所,1090,34.723925,135.374412
285,28204,学文公民館,兵庫県西宮市学文殿町2丁目4-24,指定避難所,120,34.724189,135.372393
286,28204,小松センター,兵庫県西宮市小松北町2丁目4-1,指定避難所,50,34.72502,135.378581
287,28204,上甲子園小学校,兵庫県西宮市甲子園口5丁目9-4,指定避難所,1100,34.736024,135.367946
288,28204,春風小学校,兵庫県西宮市上甲子園3丁目8-39,指定避難所,1200,34.730494,135.365207
289,28204,西宮養護学校,兵庫県西宮市甲子園春風町2-29,指定避難所,660,34.730797,135.360649
290,28204,上甲子園中学校,兵庫県西宮市上甲子園4丁目9-11,指定避難所,1090,34.733913,135.364349
291,28204,春風公民館,兵庫県西宮市甲子園春風町2-21,指定避難所,150,34.730416,135.361285
292,28204,上甲子園公民館,兵庫県西宮市甲子園口3丁目9-26,指定避難所,90,34.737699,135.373656
293,28204,甲子園口市民館,兵庫県西宮市甲子園口6丁目6-20,指定避難所,50,34.737763,135.366457
